,value,value_unc,qcflag
2009-12-15,1801.205,1.31,...
2009-12-23,1835.1575,1.31,...
2009-12-29,1808.9475,1.31,...
2010-01-05,1810.545,1.31,...
2010-01-12,1800.5675,1.31,...
2010-01-20,1811.21,1.31,...
2010-01-26,1791.3025,1.31,...
2010-02-02,1835.585,1.31,...
2010-02-09,1829.115,1.31,...
2010-02-16,1797.3,1.31,...
2010-02-23,1799.71,1.31,...
2010-03-02,1850.4850000000001,1.31,...
2010-03-09,1839.15,1.11,...
2010-03-16,1822.025,1.31,...
2010-03-23,1807.025,0.91,...
2010-03-30,1799.53,1.31,...
2010-04-07,1824.9375,1.31,...
2010-04-13,1821.065,0.91,...
2010-04-20,1821.995,0.91,...
2010-04-28,1816.5774999999999,0.91,...
2010-05-04,1808.79,0.91,...
2010-05-11,1810.9650000000001,1.31,...
2010-05-18,1822.9175,1.31,...
2010-05-26,1832.705,1.31,...
2010-06-01,1819.25,0.91,...
2010-06-08,1803.7275,1.31,...
2010-06-15,1790.4325,0.91,...
2010-06-22,1791.835,0.91,...
2010-06-29,1782.9225000000001,1.11,...
2010-07-06,1796.7575,1.31,...
2010-07-13,1804.685,1.31,...
2010-07-20,1792.06,1.31,...
2010-07-27,1788.4975,0.91,...
2010-08-03,1807.8725,0.91,...
2010-08-10,1795.12,0.91,...
2010-08-17,1795.6975,0.91,...
2010-08-24,1811.2775,1.31,...
2010-08-31,1793.79,1.31,...
2010-09-07,1819.8325,1.31,...
2010-09-14,1804.9825,1.11,...
2010-09-21,1816.2975,1.31,...
2010-09-28,1824.3225,1.31,...
2010-10-05,1810.725,1.31,...
2010-10-12,1830.545,1.31,...
2010-10-19,1811.9225000000001,1.31,...
2010-10-26,1832.1875,1.31,...
2010-11-02,1837.225,0.91,...
2010-11-09,1849.125,0.91,...
2010-11-16,1828.98,0.91,...
2010-11-23,1825.72,0.91,...
